"","z","i","RF_sqrt","KNN_1","KNN_3","KNN_5","KNN_7","KNN_9","KNN_11","KNN_13","KNN_15","KNN_17","KNN_19","KNN_21","KNN_23","KNN_25","KNN_27","KNN_29","Pruned_Tree","ENET.1se.matrix","ENET.min.matrix","LASSO.1se.matrix","LASSO.min.matrix","RIDGE.1se.matrix","RIDGE.min.matrix","LASSO.1se.cv","LASSO.min.cv","RIDGE.1se.cv","RIDGE.min.cv","ENET.1se.cv","ENET.min.cv","GLM_Full","GLM_step"
"ENET.1se.accuracy",1,1,0.896551724137931,0.689655172413793,0.896551724137931,0.896551724137931,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,0.896551724137931,0.896551724137931,0.896551724137931,0.896551724137931,0.896551724137931,0.896551724137931,0.896551724137931,0.551724137931034,0.551724137931034,0.551724137931034,0.551724137931034,0.551724137931034,0.931034482758621,0.931034482758621,0.896551724137931,0.896551724137931,0.896551724137931,0.896551724137931,0.896551724137931,0.896551724137931,0.896551724137931,0.896551724137931
"ENET.1se.accuracy1",1,2,0.7,0.533333333333333,0.733333333333333,0.633333333333333,0.666666666666667,0.7,0.766666666666667,0.766666666666667,0.766666666666667,0.6,0.7,0.7,0.633333333333333,0.633333333333333,0.633333333333333,0.633333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.8,0.8,0.7,0.766666666666667,0.8,0.8,0.8,0.8,0.8,0.733333333333333
"ENET.1se.accuracy2",1,3,0.896551724137931,0.793103448275862,0.827586206896552,0.827586206896552,0.793103448275862,0.793103448275862,0.793103448275862,0.793103448275862,0.758620689655172,0.793103448275862,0.862068965517241,0.862068965517241,0.793103448275862,0.896551724137931,0.896551724137931,0.896551724137931,0.551724137931034,0.551724137931034,0.551724137931034,0.551724137931034,0.551724137931034,0.827586206896552,0.793103448275862,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241
"ENET.1se.accuracy3",1,4,0.8,0.733333333333333,0.8,0.833333333333333,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.8,0.8,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.766666666666667,0.8
"ENET.1se.accuracy4",1,5,0.866666666666667,0.7,0.866666666666667,0.866666666666667,0.866666666666667,0.8,0.8,0.8,0.8,0.8,0.866666666666667,0.833333333333333,0.833333333333333,0.9,0.9,0.9,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.833333333333333,0.833333333333333,0.9,0.9,0.9,0.9,0.9,0.933333333333333,0.966666666666667,0.966666666666667
"ENET.1se.accuracy5",1,6,0.896551724137931,0.793103448275862,0.793103448275862,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,0.896551724137931,0.896551724137931,0.896551724137931,0.896551724137931,0.896551724137931,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,0.551724137931034,0.551724137931034,0.551724137931034,0.551724137931034,0.551724137931034,0.896551724137931,0.896551724137931,0.896551724137931,0.862068965517241,0.896551724137931,0.862068965517241,0.896551724137931,0.862068965517241,0.862068965517241,0.862068965517241
"ENET.1se.accuracy6",1,7,0.9,0.633333333333333,0.7,0.7,0.8,0.8,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.8,0.866666666666667,0.866666666666667,0.9,0.9,0.9,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.9,0.9,0.9,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.9,0.933333333333333
"ENET.1se.accuracy7",1,8,0.862068965517241,0.758620689655172,0.758620689655172,0.862068965517241,0.862068965517241,0.862068965517241,0.827586206896552,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,0.931034482758621,0.931034482758621,0.931034482758621,0.896551724137931,0.896551724137931,0.551724137931034,0.551724137931034,0.551724137931034,0.551724137931034,0.551724137931034,0.793103448275862,0.793103448275862,0.862068965517241,0.862068965517241,0.827586206896552,0.862068965517241,0.862068965517241,0.862068965517241,0.862068965517241,0.827586206896552
"ENET.1se.accuracy8",1,9,0.833333333333333,0.766666666666667,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.8,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.8
"ENET.1se.accuracy9",1,10,0.733333333333333,0.533333333333333,0.766666666666667,0.733333333333333,0.733333333333333,0.766666666666667,0.766666666666667,0.8,0.8,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.766666666666667,0.766666666666667,0.733333333333333,0.8,0.733333333333333,0.766666666666667,0.766666666666667,0.766666666666667,0.8,0.8
"ENET.1se.accuracy10",2,1,0.866666666666667,0.733333333333333,0.933333333333333,0.866666666666667,0.866666666666667,0.833333333333333,0.8,0.833333333333333,0.833333333333333,0.833333333333333,0.9,0.9,0.9,0.866666666666667,0.866666666666667,0.866666666666667,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.866666666666667,0.833333333333333,0.9,0.9,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.9,0.9
"ENET.1se.accuracy11",2,2,0.833333333333333,0.533333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.866666666666667,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667
"ENET.1se.accuracy21",2,3,0.8,0.8,0.8,0.766666666666667,0.7,0.666666666666667,0.666666666666667,0.8,0.8,0.766666666666667,0.766666666666667,0.766666666666667,0.8,0.766666666666667,0.766666666666667,0.766666666666667,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.733333333333333,0.733333333333333,0.833333333333333,0.766666666666667,0.733333333333333,0.766666666666667,0.733333333333333,0.8,0.766666666666667,0.8
"ENET.1se.accuracy31",2,4,0.766666666666667,0.666666666666667,0.733333333333333,0.8,0.8,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.8,0.8,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.8,0.8,0.8,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.8,0.8
"ENET.1se.accuracy41",2,5,0.931034482758621,0.758620689655172,0.793103448275862,0.793103448275862,0.862068965517241,0.931034482758621,0.931034482758621,0.931034482758621,0.931034482758621,0.931034482758621,0.931034482758621,0.931034482758621,0.931034482758621,0.931034482758621,0.931034482758621,0.931034482758621,0.551724137931034,0.551724137931034,0.551724137931034,0.551724137931034,0.551724137931034,0.96551724137931,0.96551724137931,0.96551724137931,0.96551724137931,0.96551724137931,0.96551724137931,0.96551724137931,0.96551724137931,1,0.96551724137931
"ENET.1se.accuracy51",2,6,0.833333333333333,0.766666666666667,0.8,0.866666666666667,0.733333333333333,0.733333333333333,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.8,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.8,0.8,0.8,0.833333333333333,0.833333333333333,0.833333333333333,0.8,0.833333333333333,0.8,0.866666666666667
"ENET.1se.accuracy61",2,7,0.833333333333333,0.7,0.866666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.833333333333333,0.8,0.866666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.866666666666667
"ENET.1se.accuracy71",2,8,0.896551724137931,0.655172413793103,0.724137931034483,0.862068965517241,0.862068965517241,0.896551724137931,0.862068965517241,0.896551724137931,0.896551724137931,0.896551724137931,0.896551724137931,0.724137931034483,0.896551724137931,0.862068965517241,0.862068965517241,0.896551724137931,0.551724137931034,0.551724137931034,0.551724137931034,0.551724137931034,0.551724137931034,0.896551724137931,0.896551724137931,0.931034482758621,0.931034482758621,0.931034482758621,0.931034482758621,0.931034482758621,0.931034482758621,0.931034482758621,0.896551724137931
